168;Flagi;Gmina;Nazwa;X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;;0;0;0;0;0;0;0;0;0;0;0;
2;P(1593);ZTM;Jaœkowa Dolina;;2;2;2;2;3;2;2;2;2;2;3;
3;P(1347);ZTM;Matejki;0;2;2;2;2;3;2;2;1;1;2;2;
4;P(1349);ZTM;Traugutta - Sobieskiego;1;1;1;1;1;1;1;1;1;1;1;1;
5;P(1351);ZTM;Krêta;1;1;1;1;1;1;1;1;1;1;1;1;
6;P(1353);ZTM;Jarowa;1;1;1;1;1;1;1;1;1;1;1;1;
7;P(1355);ZTM;Pomorskie Szko³y Rzemios³;1;1;1;1;1;1;1;1;1;1;1;1;
8;P(1357);ZTM;Schumana;1;1;1;1;1;1;1;1;1;1;1;1;
9;P(1359);ZTM;Schuberta;1;1;1;2;2;2;1;1;1;1;1;2;
10;P(1344);ZTM;Park Naukowo - Technologiczny;2;2;2;2;2;2;2;2;2;2;2;2;
11;P(1346);ZTM;Nowolipie (n/¿);2;2;2;2;2;2;2;2;2;2;2;2;
12;P(162);ZTM;Siedlce;3;3;3;3;3;3;3;3;3;3;3;3;
13;P(1635);ZTM;Emaus;2;2;2;2;2;2;2;2;2;2;2;2;
14;P(1267);ZTM;Zielony Stok;1;1;1;1;1;1;1;1;1;1;1;1;
15;P(1269);ZTM;Pagórkowa;1;1;1;1;1;1;1;1;1;1;1;1;
16;P(1271);ZTM;Myœliwska;1;1;1;1;1;1;1;1;1;1;1;1;
17;P(1273);ZTM;Lipowa;1;1;1;2;2;2;2;1;1;1;1;2;
18;P(1275);ZTM;Damroki;2;2;2;2;2;2;2;2;2;2;2;2;
19;P(1295);ZTM;Pólnicy;0;0;1;1;1;1;1;1;1;0;1;1;
20;P(1277);ZTM;Zwierzyniecka;1;1;1;1;1;1;1;1;1;1;1;1;
21;P(1279);ZTM;Jasieñ - Dzia³ki (n/¿);2;2;2;2;2;2;2;2;2;2;2;2;
22;P(1929);ZTM;Przytulna;2;2;2;2;2;2;2;2;2;2;2;2;
23;P(1930);ZTM;Szczêœliwa;1;1;1;1;1;1;1;1;1;1;1;1;
24;P(1795);ZTM;Karczemki;3;3;3;4;4;4;4;4;3;3;3;3;
25;P(1721);ZTM;Gostyñska (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
26;P(1305);ZTM;Otomiñska;1;1;1;1;1;1;1;1;1;1;1;1;
27;P(1307);ZTM;Kie³pino - Szko³a;1;1;1;1;1;1;1;1;1;1;1;1;
28;P(146);ZTM;Kie³pino Górne (Lipuska);;;;;1;1;1;1;;;1;1;
29;P(1797);ZTM;£apiñska;1;1;1;1;1;1;1;1;1;1;1;1;
30;B,N,K0,P(178);ZTM;Kie³pino Górne (Wêsierska);1;1;1;1;1;1;1;1;1;1;1;1;
