X12;1;12;a;kurs przez: Pruszcz Gd. - Rondo Kaszubskie;
X12;14;14;a;kurs przez: Pruszcz Gd. - Rondo Kaszubskie;
X6;1;13;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X6;17;18;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X8;1;13;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X8;17;18;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X13;1;13;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X13;17;18;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
X11;1;12;c;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy przez: Pruszcz Gd. - Rondo Kaszubskie;
X11;14;18;b;kurs do: Pruszcz Gd. - Urz퉐 Skarbowy;
