X2;1;5;b;przez: ul. £anow¹ (nie kursuje przez ul. Gêsi¹) z zajazdem do: Olszynka - Szko³a
X2;6;17;a;przez: Olszynka - Szko³a
;;;;
X5;1;5;b;przez: ul. £anow¹ (nie kursuje przez ul. Gêsi¹) z zajazdem do: Olszynka - Szko³a
X5;6;17;a;przez: Olszynka - Szko³a
;;;;
X1;1;5;c;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹)
;;;;
X6;1;5;c;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹)
;;;;
X7;1;5;c;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹)
;;;;
X9;1;5;c;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹)
;;;;
X14;1;5;c;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹)
;;;;
;;;;
X3;1;5;d;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹) z zajazdem do: Olszynka - Szko³a
X3;14;17;a;przez: Olszynka - Szko³a
;;;;
X4;1;5;d;przez ul. Gêsi¹ (nie kursuje przez ul. £anow¹) z zajazdem do: Olszynka - Szko³a
X4;14;17;a;przez: Olszynka - Szko³a
;;;;
X98;1;5;a;przez: ul. £anow¹ (nie kursuje przez ul. Gêsi¹)
X92;1;5;a;przez: ul. £anow¹ (nie kursuje przez ul. Gêsi¹)
X90;1;5;a;przez: ul. £anow¹ (nie kursuje przez ul. Gêsi¹)
