N11;Flagi;Gmina;Nazwa;X0(00:00-29:59);
1;B,P(137);ZTM;Olszynka - Szko≥a;0;
2;P(1183);ZTM;Sierpowa (n/ø);1;
3;P(1184);ZTM;Bratki (n/ø);2;
4;P(1760);ZTM;Stokrotki (n/ø);1;
5;P(1185);ZTM;GÍsia (n/ø);1;
6;P(1186);ZTM;Niwki (n/ø);2;
7;P(1187);ZTM;Zawodzie (n/ø);2;
8;P(1660);ZTM;Dworkowa (n/ø);2;
9;P(1188);ZTM;Maki (n/ø);1;
10;P(1189);ZTM;Targowisko (n/ø);1;
11;P(1100);ZTM;Mostek (n/ø);1;
12;P(1042);ZTM;Brama Øu≥awska (n/ø);1;
13;P(1662);ZTM;Akademia Muzyczna (n/ø);1;
14;P(1041);ZTM;Szafarnia (n/ø);1;
15;P(1192);ZTM;Dolna (n/ø);2;
16;P(1664);ZTM;Kamienna Grobla (n/ø);0;
17;P(1190);ZTM;Rzeünicka (n/ø);1;
18;P(1030);ZTM;Brama Wyøynna;2;
19;B,N,K0,P(1020);ZTM;Dworzec G≥Ûwny;2;
