N9;Flagi;Gmina;Nazwa;X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59)
1;B,P(1015);ZTM;Dworzec G³ówny;0;0;0
2;P(1031);ZTM;Brama Wy¿ynna;2;2;2
3;P(1191);ZTM;RzeŸnicka (n/¿);;2;2
4;P(1682);ZTM;Dobra (n/¿);;1;1
5;P(1193);ZTM;Wróbla (n/¿);;1;1
6;P(1036);ZTM;Ch³odna (n/¿);;1;1
7;P(1037);ZTM;¯abi Kruk  (n/¿);1;;
8;P(1661);ZTM;Akademia Muzyczna (n/¿);2;1;1
9;P(1099);ZTM;Brama ¯u³awska (n/¿);1;1;1
10;P(1601);ZTM;Mostek (n/¿);1;1;1
11;P(1101);ZTM;Mia³ki Szlak (n/¿);1;1;1
12;P(1103);ZTM;Elbl¹ska - Wiadukt (n/¿);1;1;1
13;P(1105);ZTM;B³onia (n/¿);1;1;1
14;P(1107);ZTM;Tarcice (n/¿);1;1;1
15;P(1109);ZTM;Micha³ki Wiadukt (n/¿);1;1;1
16;P(1111),S;ZTM;Rafineria (n/¿);1;1;1
17;P(1113);ZTM;Dobrowo (n/¿);2;2;2
18;P(1115);ZTM;Przejazdowo Sezonowa (n/¿);1;1;1
19;P(1117);ZTM;Przejazdowo (n/¿);1;1;1
20;P(1119);ZTM;Przejazdowo £¹kowa (n/¿);1;1;1
21;P(1713);ZTM;Bogatka II (n/¿);1;1;1
22;P(1121);ZTM;Bogatka (n/¿);1;1;1
23;P(1123);ZTM;Bogatka I (n/¿);1;1;1
24;P(1125);ZTM;Wiœlinka Szkolna (n/¿);2;2;2
25;P(1127);ZTM;Wiœlinka Piaskowa (n/¿);2;2;2
26;P(1129);ZTM;Sobieszewo Most (n/¿);1;1;1
27;P(1131),S;ZTM;Sobieszewo Wyspa (n/¿);2;2;2
28;P(1175);ZTM;Jodowa (n/¿);1;1;
29;P(1763);ZTM;Sobieszewska (n/¿);0;0;
30;P(1177);ZTM;Têczowa (n/¿);1;1;
31;P(1179);ZTM;Nadwiœlañska (n/¿);0;0;
32;P(1181);ZTM;Ornitologów (n/¿);1;1;
33;P(342);ZTM;Górki Wschodnie (n/¿);1;1;
34;P(1180);ZTM;Ornitologów (n/¿);1;1;
35;P(1178);ZTM;Nadwiœlañska (n/¿);1;1;
36;P(1176);ZTM;Têczowa (n/¿);0;0;
37;P(1764);ZTM;Sobieszewska (n/¿);1;1;
38;P(1174);ZTM;Jodowa (n/¿);0;0;
39;P(1131);ZTM;Sobieszewo Wyspa (n/¿);1;1;
40;P(1759);ZTM;Falowa (n/¿);1;1;1
41;P(1133);ZTM;Kana³owa (n/¿);0;0;0
42;P(1843);ZTM;Turystyczna (n/¿);1;1;1
43;P(1827);ZTM;Forsycji (n/¿);0;0;0
44;P(1135);ZTM;Pole Namiotowe (n/¿);1;1;1
45;P(1137);ZTM;Lazurowa (n/¿);1;1;1
46;P(1139);ZTM;Wieniec (n/¿);2;2;2
47;P(1141);ZTM;Kwiatowa (n/¿);1;1;1
48;P(1681);ZTM;Boguckiego (n/¿);1;1;1
49;P(1143);ZTM;Tra³owa - Szko³a (n/¿);1;1;1
50;P(1145);ZTM;Kempingowa (n/¿);1;1;1
51;P(1147);ZTM;Wêgorzowa (n/¿);1;1;1
52;P(1149);ZTM;Przystañ (n/¿);1;1;1
53;P(1151);ZTM;Œwibno - Przychodnia (n/¿);1;1;1
54;P(1657);ZTM;Œwibnieñska - Sklep (n/¿);0;0;0
55;P(1153);ZTM;Uzdrowiskowa (n/¿);1;1;1
56;P(1155);ZTM;Œwibnieñska (n/¿);2;2;2
57;P(1157);ZTM;Przegaliñska (n/¿);1;1;1
58;B,N,K0,P(143);ZTM;Przegalina (n/¿);1;1;1
